JRV,PRESJRV
HN.5.1.1.135.3980_DIP,HN.5.1.1.135.3980
HN.5.1.1.88.3809_DIP,HN.5.1.1.88.3809
HN.5.1.1.88.3810_DIP,HN.5.1.1.88.3810
HN.5.1.1.88.3811_DIP,HN.5.1.1.88.3811
HN.5.1.1.88.3812_DIP,HN.5.1.1.88.3812
HN.5.1.1.130.3929_DIP,HN.5.1.1.130.3929
NA,NA
HN.5.1.1.130.3931_DIP,HN.5.1.1.130.3931
HN.5.1.1.130.3932_DIP,HN.5.1.1.130.3932
HN.5.1.1.130.3933_DIP,HN.5.1.1.130.3933
HN.5.1.1.130.3934_DIP,HN.5.1.1.130.3934
NA,NA
HN.5.1.1.130.3936_DIP,HN.5.1.1.130.3936
HN.5.1.1.130.3937_DIP,HN.5.1.1.130.3937
NA,NA
HN.5.1.1.130.3939_DIP,HN.5.1.1.130.3939
NA,NA
HN.5.1.1.130.3941_DIP,HN.5.1.1.130.3941
HN.5.1.1.130.3942_DIP,HN.5.1.1.130.3942
HN.5.1.1.130.3943_DIP,HN.5.1.1.130.3943
HN.5.1.1.50.3671_DIP,HN.5.1.1.50.3671
HN.5.1.1.50.3672_DIP,HN.5.1.1.50.3672
HN.5.1.1.50.3673_DIP,HN.5.1.1.50.3673
HN.5.1.1.50.3674_DIP,HN.5.1.1.50.3674
HN.5.1.1.50.3675_DIP,HN.5.1.1.50.3675
HN.5.1.1.50.3676_DIP,HN.5.1.1.50.3676
HN.5.1.1.50.3677_DIP,HN.5.1.1.50.3677
HN.5.1.1.50.3678_DIP,HN.5.1.1.50.3678
NA,NA
HN.5.1.1.55.3699_DIP,HN.5.1.1.55.3699
HN.5.1.1.55.3700_DIP,HN.5.1.1.55.3700
HN.5.1.1.55.3701_DIP,HN.5.1.1.55.3701
HN.5.1.1.306.4703_DIP,HN.5.1.1.306.4703
HN.5.1.1.306.4704_DIP,HN.5.1.1.306.4704
HN.5.1.1.306.4705_DIP,HN.5.1.1.306.4705
NA,NA
HN.5.1.1.306.4707_DIP,HN.5.1.1.306.4707
HN.5.1.1.306.4708_DIP,HN.5.1.1.306.4708
HN.5.1.1.306.4709_DIP,HN.5.1.1.306.4709
HN.5.1.1.306.4710_DIP,HN.5.1.1.306.4710
HN.5.1.1.306.4711_DIP,HN.5.1.1.306.4711
HN.5.1.1.306.4712_DIP,HN.5.1.1.306.4712
HN.5.1.1.306.4713_DIP,HN.5.1.1.306.4713
NA,NA
HN.5.1.1.306.4715_DIP,HN.5.1.1.306.4715
HN.5.1.1.306.4716_DIP,HN.5.1.1.306.4716
NA,NA
HN.5.1.1.47.3665_DIP,HN.5.1.1.47.3665
HN.5.1.1.47.3666_DIP,HN.5.1.1.47.3666
HN.5.1.1.47.3667_DIP,HN.5.1.1.47.3667
NA,NA
HN.5.1.1.47.3669_DIP,HN.5.1.1.47.3669
HN.5.1.1.47.3670_DIP,HN.5.1.1.47.3670
HN.5.1.1.216.4327_DIP,HN.5.1.1.216.4327
HN.5.1.1.216.4328_DIP,HN.5.1.1.216.4328
HN.5.1.1.216.4329_DIP,HN.5.1.1.216.4329
HN.5.1.1.216.4330_DIP,HN.5.1.1.216.4330
HN.5.1.1.216.4331_DIP,HN.5.1.1.216.4331
HN.5.1.1.216.4332_DIP,HN.5.1.1.216.4332
HN.5.1.1.216.4333_DIP,HN.5.1.1.216.4333
HN.5.1.1.216.4334_DIP,HN.5.1.1.216.4334
NA,NA
HN.5.1.1.216.4336_DIP,HN.5.1.1.216.4336
HN.5.1.1.216.4337_DIP,HN.5.1.1.216.4337
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.340.4854_DIP,HN.5.1.1.340.4854
HN.5.1.1.29.3589_DIP,HN.5.1.1.29.3589
HN.5.1.1.29.3590_DIP,HN.5.1.1.29.3590
HN.5.1.1.29.3591_DIP,HN.5.1.1.29.3591
HN.5.1.1.29.3592_DIP,HN.5.1.1.29.3592
HN.5.1.1.29.3593_DIP,HN.5.1.1.29.3593
HN.5.1.1.29.3594_DIP,HN.5.1.1.29.3594
HN.5.1.1.29.3595_DIP,HN.5.1.1.29.3595
HN.5.1.1.11.3508_DIP,HN.5.1.1.11.3508
HN.5.1.1.11.3509_DIP,HN.5.1.1.11.3509
HN.5.1.1.11.3510_DIP,HN.5.1.1.11.3510
HN.5.1.1.11.3511_DIP,HN.5.1.1.11.3511
NA,NA
HN.5.1.1.11.3513_DIP,HN.5.1.1.11.3513
HN.5.1.1.11.3514_DIP,HN.5.1.1.11.3514
NA,NA
HN.5.1.1.270.4584_DIP,HN.5.1.1.270.4584
NA,NA
HN.5.1.1.270.4586_DIP,HN.5.1.1.270.4586
HN.5.1.1.270.4587_DIP,HN.5.1.1.270.4587
NA,NA
HN.5.1.1.270.4589_DIP,HN.5.1.1.270.4589
NA,NA
NA,NA
HN.5.1.1.270.4592_DIP,HN.5.1.1.270.4592
NA,NA
HN.5.1.1.270.4594_DIP,HN.5.1.1.270.4594
NA,NA
HN.5.1.1.249.4463_DIP,HN.5.1.1.249.4463
NA,NA
NA,NA
NA,NA
HN.5.1.1.249.4467_DIP,HN.5.1.1.249.4467
NA,NA
HN.5.1.1.249.4469_DIP,HN.5.1.1.249.4469
HN.5.1.1.249.4470_DIP,HN.5.1.1.249.4470
HN.5.1.1.249.4471_DIP,HN.5.1.1.249.4471
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.187.4192_DIP,HN.5.1.1.187.4192
NA,NA
HN.5.1.1.187.4194_DIP,HN.5.1.1.187.4194
HN.5.1.1.187.4195_DIP,HN.5.1.1.187.4195
